@relation 'no_zero_other_class_at_end-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,13'

@attribute Time numeric
@attribute Day numeric
@attribute Quarter {Winter,Spring,Fall,Other,Summer}
@attribute Class {Empty,'Not Busy','Moderately Busy',Busy}

@data
200,1,Fall,Empty
200,0,Winter,Empty
200,3,Winter,Empty
200,0,Spring,Empty
200,2,Spring,Empty
200,2,Fall,Empty
200,1,Winter,Empty
200,4,Winter,Empty
200,1,Spring,Empty
200,3,Spring,Empty
200,2,Winter,Empty
200,2,Spring,Empty
200,4,Spring,Empty
200,1,Other,Empty
200,1,Fall,Empty
200,3,Winter,Empty
200,3,Spring,Empty
200,0,Fall,Empty
200,2,Other,Empty
200,2,Fall,Empty
200,4,Winter,Empty
200,4,Spring,Empty
200,1,Fall,Empty
200,3,Other,Empty
200,3,Fall,Empty
200,4,Fall,Empty
200,1,Spring,Empty
230,1,Winter,Empty
230,2,Spring,Empty
230,3,Fall,Empty
230,1,Fall,Empty
230,1,Winter,Empty
230,2,Winter,Empty
230,3,Spring,Empty
230,4,Fall,Empty
230,0,Fall,Empty
230,2,Fall,Empty
230,2,Winter,Empty
230,3,Winter,Empty
230,4,Spring,Empty
230,1,Fall,Empty
230,3,Fall,Empty
230,3,Winter,Empty
230,2,Spring,Empty
230,5,Spring,Empty
230,2,Fall,Empty
230,4,Fall,Empty
230,4,Winter,Empty
230,1,Spring,Empty
230,3,Spring,Empty
230,6,Spring,Empty
230,0,Fall,Empty
230,3,Fall,Empty
230,5,Fall,Empty
230,4,Spring,Empty
230,0,Spring,Empty
230,1,Fall,Empty
230,4,Fall,Empty
230,6,Fall,Empty
230,3,Winter,Empty
230,1,Spring,Empty
230,2,Fall,Empty
230,0,Fall,Empty
230,0,Winter,Empty
230,1,Winter,Empty
230,2,Spring,Empty
230,3,Fall,Empty
230,1,Fall,Empty
230,1,Winter,Empty
230,2,Winter,Empty
230,0,Spring,Empty
230,3,Spring,Empty
230,4,Fall,Empty
230,0,Fall,Empty
230,2,Fall,Empty
230,2,Winter,Empty
230,3,Winter,Empty
230,4,Spring,Empty
230,1,Fall,Empty
230,3,Fall,Empty
230,3,Winter,Empty
230,4,Winter,Empty
230,2,Spring,Empty
230,2,Fall,Empty
230,4,Fall,Empty
