Year,Month,Day,Time,Quarter,Quarter Progress,Class
2015.0,7.0,7.0,1800,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1830,Summer,0.2777777777777778,Not Busy
2015.0,7.0,7.0,1900,Summer,0.2777777777777778,Empty
2015.0,7.0,7.0,1930,Summer,0.2777777777777778,Empty
2015.0,7.0,7.0,2000,Summer,0.2777777777777778,Empty
2015.0,7.0,7.0,2030,Summer,0.2777777777777778,Empty
2015.0,7.0,7.0,2100,Summer,0.2777777777777778,Empty
2015.0,7.0,7.0,2130,Summer,0.2777777777777778,Empty
2015.0,7.0,8.0,700,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,730,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,800,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,830,Summer,0.2962962962962963,Moderately Busy
2015.0,7.0,8.0,900,Summer,0.2962962962962963,Moderately Busy
2015.0,7.0,8.0,930,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1000,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1030,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1100,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1130,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1200,Summer,0.2962962962962963,Moderately Busy
2015.0,7.0,8.0,1230,Summer,0.2962962962962963,Moderately Busy
2015.0,7.0,8.0,1300,Summer,0.2962962962962963,Moderately Busy
2015.0,7.0,8.0,1330,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1400,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1430,Summer,0.2962962962962963,Moderately Busy
2015.0,7.0,8.0,1500,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1530,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1600,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1630,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1700,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1730,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1800,Summer,0.2962962962962963,Not Busy
2015.0,7.0,8.0,1830,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,1900,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,1930,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,2000,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,2030,Summer,0.2962962962962963,Empty
2015.0,7.0,8.0,2100,Summer,0.2962962962962963,Empty
2015.0,7.0,9.0,730,Summer,0.3148148148148148,Empty
2015.0,7.0,9.0,800,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,830,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,900,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,930,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1000,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1030,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1100,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1130,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,1200,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,1230,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,1300,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,1330,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,1400,Summer,0.3148148148148148,Moderately Busy
2015.0,7.0,9.0,1430,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1500,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1530,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1600,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1630,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1700,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1730,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1800,Summer,0.3148148148148148,Not Busy
2015.0,7.0,9.0,1830,Summer,0.3148148148148148,Empty
2015.0,7.0,9.0,1900,Summer,0.3148148148148148,Empty
2015.0,7.0,9.0,1930,Summer,0.3148148148148148,Empty
2015.0,7.0,9.0,2000,Summer,0.3148148148148148,Empty
2015.0,7.0,9.0,2030,Summer,0.3148148148148148,Empty
2015.0,7.0,9.0,2100,Summer,0.3148148148148148,Empty
2015.0,7.0,10.0,730,Summer,0.3333333333333333,Empty
2015.0,7.0,10.0,800,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,830,Summer,0.3333333333333333,Moderately Busy
2015.0,7.0,10.0,900,Summer,0.3333333333333333,Moderately Busy
2015.0,7.0,10.0,930,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1000,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1030,Summer,0.3333333333333333,Not Busy
